dProofs19.txt:11424                     9 CpCqCCprr    DD2D11DD2D1D2DD2111:C0C1CC0.2.2
dProofs19.txt:12614                     9 CpCCCqprr    DD2D1D2DD211DD2D111:C0CCC1.0.2.2
dProofs19.txt:13003                     9 CNCNpCpqr    DD2D1DD23D1DD2D1311:CNCN0C0.1.2
dProofs21.txt:5142                      9 CpCqCNNrr    D1D1DD2DD2D13DD2D1311:C0C1CNN2.2
dProofs21.txt:18535                     9 CCpNNqCpq    D2D1DD2DD2D13DD2D1311:CC0NN1C0.1
dProofs23.txt:9539                      9 CpCqCrNNr    D1D1D3DD2DD2D13DD2D1311:C0C1C2NN2
dProofs23.txt:43810                     9 CpNNCqCrq    D1DD3DD2DD2D13DD2D13111:C0NNC1C2.1
dProofs23.txt:48519                     9 CCpqCpNNq    D2D1D3DD2DD2D13DD2D1311:CC0.1C0NN1
dProofs23.txt:128615                    9 NNCpCqCrq    DD3DD2DD2D13DD2D1311D11:NNC0C1C2.1
dProofs23.txt:128618                    9 NNCCpqCpp    DD3DD2DD2D13DD2D1311D21:NNCC0.1C0.0 [instance of NNCpCqq]
dProofs25.txt:294731                    9 CNNNNpCqp    DD2D13DD2D13DD2D13DD2D131:CNNNN0C1.0
dProofs25.txt:311042                    9 CNNpCCpqq    DD2D1D2DD211DD2D13DD2D131:CNN0CC0.1.1
dProofs25.txt:316552                    9 CpCNNCpqq    DD2D1D2DD2DD2D13DD2D13111:C0CNNC0.1.1
dProofs25.txt:319909                    9 CCpqCNNpq    DD2D1DD22D2DD2D13DD2D1311:CC0.1CNN0.1
dProofs25.txt:322414                    9 CNCNNppNp    DD2D1DD23D2DD2D13DD2D1311:CNCNN0.0N0 [instance of CNCpqNq]
dProofs27.txt:278417                    9 CpCqCrNNq    D1DD2D11D3DD2DD2D13DD2D1311:C0C1C2NN1
dProofs27.txt:316712                    9 CpCqNNCrq    D1DD2D1D3DD2DD2D13DD2D13111:C0C1NNC2.1
dProofs27.txt:929941                    9 CNpCNCpqr    DD2D1D2DD2D131DD2D11DD2D131:CN0CNC0.1.2
dProofs27.txt:954921                    9 CNCpCNpqr    DD2D1DD23D1DD2D1D2DD2D13111:CNC0CN0.1.2
dProofs27.txt:1053489                   9 CCCNNppqq    DD2DD211D1DD2DD2D13DD2D1311:CCCNN0.0.1.1
dProofs27.txt:1132823                   9 CNNCCppqq    DD2DD2DD2D13DD2D1311D1DD211:CNNCC0.0.1.1
dProofs27.txt:1137874                   9 NNCpCqCrp    DD3DD2DD2D13DD2D1311DD2D111:NNC0C1C2.0
