dProofs5.txt:15                        8 CpLLCLqq   D1NN4:C0LLCL1.1
dProofs5.txt:21                        8 CCpLqCpq   D2D14:CC0L1C0.1
dProofs5.txt:32                        8 LCpLCLqq   ND1N4:LC0LCL1.1
dProofs5.txt:35                        8 LCLpLCqp   ND5N1:LCL0LC1.0
dProofs5.txt:43                        8 LLCpCLqq   NND14:LLC0CL1.1
dProofs5.txt:54                        8 LLLLCLpp   NNNN4:LLLLCL0.0
dProofs8.txt:222                       8 LCpCqCrp   NDD2D111:LC0C1C2.0
dProofs9.txt:103                       8 CpCLqCrq   D1DD2D114:C0CL1C2.1
dProofs9.txt:110                       8 CpCNqCqr   D1DD2D131:C0CN1C1.2
dProofs9.txt:330                       8 CpCLCpqq   DD2D1D241:C0CLC0.1.1
dProofs9.txt:566                       8 LLCLpCqp   NNDD2D114:LLCL0C1.0
dProofs9.txt:573                       8 LLCNpCpq   NNDD2D131:LLCN0C0.1
dProofs10.txt:61                       8 CpCqLCrr   D1D1NDD211:C0C1LC2.2
dProofs10.txt:150                      8 CpLCqCrr   D1ND1DD211:C0LC1C2.2
dProofs10.txt:235                      8 CpLCLLqq   D1NDD2D144:C0LCLL1.1
dProofs10.txt:297                      8 CpLLLCqq   D1NNNDD211:C0LLLC1.1
dProofs10.txt:392                      8 CLLpLCqp   D5NDD2D114:CLL0LC1.0
dProofs10.txt:399                      8 CLNpLCpq   D5NDD2D131:CLN0LC0.1
dProofs10.txt:536                      8 LCpCqCrr   ND1D1DD211:LC0C1C2.2
dProofs10.txt:621                      8 LCpCLLqq   ND1DD2D144:LC0CLL1.1
dProofs10.txt:683                      8 LCpLLCqq   ND1NNDD211:LC0LLC1.1
dProofs10.txt:910                      8 LLCpLCqq   NND1NDD211:LLC0LC1.1
dProofs10.txt:999                      8 LLLCpCqq   NNND1DD211:LLLC0C1.1
dProofs10.txt:1084                     8 LLLCLLpp   NNNDD2D144:LLLCLL0.0
dProofs10.txt:1146                     8 LLLLLCpp   NNNNNDD211:LLLLLC0.0
dProofs11.txt:997                      8 CLCCppqq   DD24D1DD211:CLCC0.0.1.1
dProofs11.txt:1153                     8 CCCLppqq   DD2DD211D14:CCCL0.0.1.1
dProofs13.txt:3753                     8 CLpCqCrp   DD2D11DD2D114:CL0C1C2.0
dProofs13.txt:3760                     8 CNpCqCpr   DD2D11DD2D131:CN0C1C0.2
dProofs13.txt:3905                     8 CpCCpLqq   DD2D1D2D2D141:C0CC0L1.1
dProofs13.txt:3938                     8 CCpqCLpq   DD2D1DD22D141:CC0.1CL0.1
dProofs13.txt:3955                     8 CNCpCqpr   DD2D1DD23D111:CNC0C1.0.2
dProofs13.txt:3973                     8 CNCNpNpp   DD2D1DD23D211:CNCN0N0.0 [instance of CNCppq]
dProofs14.txt:6265                     8 CNLCLppq   DD2D1DD23D1N41:CNLCL0.0.1
dProofs14.txt:6295                     8 CCLCpppp   DD2D24D1NDD211:CCLC0.0.0.0 [instance of CCLCppqq]
dProofs14.txt:10520                    8 LCLLpCqp   NDD2D11DD2D144:LCLL0C1.0
dProofs14.txt:10583                    8 LCLNpCpq   NDD2D13DD2D114:LCLN0C0.1
dProofs14.txt:10584                    8 LCNNpCqp   NDD2D13DD2D131:LCNN0C1.0
dProofs14.txt:10683                    8 LCpCCpqq   NDD2D1D2DD2111:LC0CC0.1.1
dProofs14.txt:10721                    8 LCNCLppq   NDD2D1DD23D141:LCNCL0.0.1
dProofs15.txt:3844                     8 CpCLLLqq   D1DD2D14DD2D144:C0CLLL1.1
dProofs15.txt:13337                    8 CCNppCqp   DD2D13D2DD2D131:CCN0.0C1.0
dProofs15.txt:14123                    8 CCCppLqq   DD2D2D14D1DD211:CCC0.0L1.1
dProofs15.txt:25788                    8 LLCLLLpp   NNDD2D14DD2D144:LLCLLL0.0
dProofs16.txt:25048                    8 CCLCppqq   DD2DD211D1NDD211:CCLC0.0.1.1
dProofs16.txt:40912                    8 LCCCppqq   NDD2DD211D1DD211:LCCC0.0.1.1
dProofs17.txt:13746                    8 CpCqCNqr   D1DD2D1D2DD2D1311:C0C1CN1.2
dProofs17.txt:36554                    8 CCpNpCpq   D2DD2D1D2DD2D1311:CC0N0C0.1
dProofs17.txt:96945                    8 LLCpCNpq   NNDD2D1D2DD2D1311:LLC0CN0.1
dProofs18.txt:72613                    8 CLpLCNpq   D5NDD2D1D2DD2D1311:CL0LCN0.1
dProofs19.txt:50347                    8 CpCNCqqr   D1DD2D1DD23D1DD2111:C0CNC1.1.2
dProofs19.txt:180099                   8 CLLLpCqp   DD2D11DD2D14DD2D144:CLLL0C1.0
dProofs19.txt:182527                   8 CLLNpCpq   DD2D13DD2D11DD2D144:CLLN0C0.1
dProofs19.txt:182543                   8 CLNNpCqp   DD2D13DD2D13DD2D114:CLNN0C1.0
