dProofs31.txt:52                      10 CpCqCrCNqs      DD1D11D1DDD1DD11D11D1DD1D111D11:C0C1C2CN1.3
dProofs33.txt:351                     10 CpCNCqCrqs      DDD1DD11D11D11DD1DD11D11D1DD1D111:C0CNC1C2.1.3
dProofs39.txt:1289                    10 CNCpCqCrqs      DDDD11DD1DD11D11D111DD1DD11D11D1DD1D111:CNC0C1C2.1.3
dProofs41.txt:1290                    10 CNCCCpqprp      DDD1D1DD1DD11D11D11D1DD1DD11D11D1DD1D1111:CNCCC0.1.0.2.0
dProofs41.txt:1294                    10 CCCNCpqrpp      DDD1D1DD1DD11D11D1DD1D111D1DD1DD11D11D111:CCCNC0.1.2.0.0
dProofs45.txt:796                     10 CpCqCrCNps      DD1DDD1DD11D11D1DD1D111D11DD1DD11D11D1DD1D111:C0C1C2CN0.3
dProofs45.txt:800                     10 CpCqCNCrps      DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D11:C0C1CNC2.0.3
dProofs51.txt:2157                    10 CpCNCqCrps      DD1DDD1DD11D11D1DD1D111D1DD1D111DDD11DD1DD11D11D111:C0CNC1C2.0.3
dProofs51.txt:7962                    10 CCCNCppqrr      DDD1D1DD1DD11D11D1DD1D111D1DD1DD1D111DD1DD11D11D111:CCCNC0.0.1.2.2
dProofs51.txt:14464                   10 CNCCCppqqr      DDDD1DD11D11D11DDD1D1DD1DD11D11D1DD1D111D1DD1D11111:CNCCC0.0.1.1.2
dProofs55.txt:19116                   10 CpCqCrCNrs      DDD1DD11D11D1DD1D111DD1D11D1DD1D1DD1DD11D11D1DD1D111D11:C0C1C2CN2.3
dProofs57.txt:27717                   10 CpCqCNCrsr      DDD1DD11D11D1DD1D111DD1D1DD1DD11D11D11DD1DD11D11D1DD1D111:C0C1CNC2.3.2
dProofs57.txt:47197                   10 CCCppNCqqr      DDDD1DD1D111DDD1D11DDD111111DDD1D1DD1DD11D11D11D1DD1D1111:CCC0.0NC1.1.2
dProofs59.txt:10664                   10 CNCpCqCrsr      DDD1D11DD1DDD1DD11D11D1DD1D111D1DD1D111DDD11DD1DD11D11D1111:CNC0C1C2.3.2
dProofs63.txt:145655                  10 CNCCCpqppr      DDDD1DD11D11D11DDD1D1DD1DD11D11D1DD1D111D1DD1DD11D11D1DD1D11111:CNCCC0.1.0.0.2
dProofs67.txt:320779                  10 CNCpCqCrps      DDDD1DD11D11D11DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D1DD1D1111:CNC0C1C2.0.3
dProofs69.txt:37677                   10 CpCNCqrCsq      DD1D1DD1DD11D11D11DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D1DD1D111:C0CNC1.2C3.1
dProofs71.txt:71459                   10 CpCCNqNNqq      DD1DD1D1DDD11D111D1DD1D111D1DD1DDD1DD11D11D1DD1D1111D1DD11DD1DD11D11D11:C0CCN1NN1.1
dProofs73.txt:1162780                 10 CCCppNCqrq      DDDD1DD1DDD1DD11D11D1DD1D111D1DD1D1111D1D111DDD1D1DD1DD11D11D11D1DD1D1111:CCC0.0NC1.2.1
dProofs75.txt:118469                  10 CpCNCqrCrs      DD1D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D1DD1D111DDD11DD1DD11D11D111:C0CNC1.2C2.3
